itemCode,itemName,mainUnit,subUnit,convertRate
RM00054,กะทิชาวเกาะ 250ml. / Chaokoh Coconut Milk / 차오컥팩 250ml.,Pack / แพ็ค,Milliliter (ml) / มิลลิลิตร,250
RM00055,กะทิอัมพวา 500ml. / Amphawa coconut milk / 암파와 500ml.,Pack / แพ็ค,Milliliter (ml) / มิลลิลิตร,500
RM00056,กะทิอัมพวา 250ml. / Amphawa coconut milk / 암파와 250ml.,Pack / แพ็ค,Milliliter (ml) / มิลลิลิตร,250
RM00057,กะทิเชฟช้อย / Chef's Choice Coconut Milk / 셰프 추천 코코넛 밀크,Can / กระป๋อง,Milliliter (ml) / มิลลิลิตร,400
RM00058,กระเทียมดอง / Pickled garlic / 마늘절임,Bottle / ขวด,Gram (g) / กรัม,500
RM00059,ปลาหมึกแห้ง / Dried squid / 빠믁 마른 오장어,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00060,นมข้นหวานมะลิ / Jasmine Sweetened Condensed Milk / 말리연유,Can / กระป๋อง,Milliliter (ml) / มิลลิลิตร,380
RM00061,นมคาร์เนชั่น / Carnation milk / 카네이션캑,Can / กระป๋อง,Milliliter (ml) / มิลลิลิตร,369
RM00062,เห็ดหอม / Shiitake mushrooms / 포고버섯,Bag / ถุง,Gram (g) / กรัม,200
RM00063,เห็ดหูหนูดำแห้ง / Dried black wood ear mushrooms / 목이버섯,Bag / ถุง,Gram (g) / กรัม,100
RM00064,เห็ดหูหนูขาวแห้ง / Dried white wood ear mushrooms / 백목이버섯,Bag / ถุง,Gram (g) / กรัม,100
RM00065,พริกแช่แข็ง / Frozen chili peppers / 냉동고추,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00066,แคปหมู / Pork rinds / 켑무 돼지 껍데기 튀김,Bag / ถุง,Gram (g) / กรัม,20
RM00067,แคปไก่ / Chicken Cap / 켑가이 닭껍질 튀김,Bag / ถุง,Gram (g) / กรัม,20
RM00068,ไส้กรอกอิสาน / Isaan sausage / 싸이크록이싼,Pack / แพ็ค,Gram (g) / กรัม,500
RM00069,ปลากระป๋อง / canned fish / 태국삼메꾸아,Can / กระป๋อง,Gram (g) / กรัม,185
RM00070,ลูกชิ้นปลาเยาวราช / Yaowarat fish balls / 야오와랏 생선볼,Bag / ถุง,Gram (g) / กรัม,500
RM00071,ลูกชิ้นหมู / pork meatballs / 돼지고기 미트볼,Pack / แพ็ค,Kilogram (kg) / กิโลกรัม,1
RM00072,ลูกชิ้นเนื้อ / Meatballs / 미트볼,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00073,มะนาวเขียว / Green lime / 녹색 라임,Box / กล่อง,Piece / ชิ้น,46
RM00074,ข่า / Galangal / 갈랑갈,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00075,กระชาย / fingerroot / 핑거루트,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00076,กระเพรา / Basil / 바질,Pack / แพ็ค,Kilogram (kg) / กิโลกรัม,1
RM00077,คะน้า / Kale / 케일,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00078,ผักบุ้ง / water spinach / 물시금치,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00079,โหระภา / Thai basil / 바질,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00080,สะระแหน่ / peppermint / 박하,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00081,ใบแมงลัก / Basil leaves / 바질 잎,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00082,ใบเตย / pandan leaf / 판단 잎,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00083,เฮลบลูบอย / Hell Blue Boy / 헬 블루 보이,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,330
RM00084,ขิง / ginger / 생강,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00085,เนื้อสไลด์ / Sliced meat / 얇게 썬 고기,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00086,หมูสไลด์ / Sliced pork / 얇게 썬 돼지고기,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00087,หมูบด / minced pork / 다진 돼지고기,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00088,กระดูกซุป / Soup bones / 수프 뼈,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00089,กระดูกหมูอ่อน / Pork ribs / 돼지갈비,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00090,สามสิบกีบ / Pork trotters / 서른 개의 발굽,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00091,เนื้อวัว / Beef / 소고기,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00092,หนังหมู / pork skin / 돼지껍데기,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00093,เลือดหมู / Pig's blood / 돼지 피,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00094,หมูสันนอก / Pork loin / 돼지 등심,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00095,มันหมู / pork fat / 돼지기름,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00096,ตับหมู / pork liver / 돼지 간,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00097,หมูสามชั้น / streaky pork / 삼겹살,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00098,กุ้งแกะเปลือก / Peeled shrimp / 껍질 벗긴 새우,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00099,กุ้งใหญ่ / Big shrimp / 큰 새우,Box / กล่อง,Kilogram (kg) / กิโลกรัม,10
RM00100,กุ้งเล็ก / small shrimp / 작은 새우,Box / กล่อง,Kilogram (kg) / กิโลกรัม,2.4
RM00101,ปลาหมึก / squid / 오징어,Kilogram (kg) / กิโลกรัม,Kilogram (kg) / กิโลกรัม,1
RM00102,หอยส้มตำ / Clams in papaya salad / 파파야 샐러드에 넣은 조개,Kilogram (kg) / กิโลกรัม,Kilogram (kg) / กิโลกรัม,1
RM00103,ข้าวสาร / rice / 쌀,Bag / ถุง,Kilogram (kg) / กิโลกรัม,20
RM00104,ข้าวเหนียว / Sticky rice / 찹쌀,Bag / ถุง,Kilogram (kg) / กิโลกรัม,20
RM00105,น้ำมันพืช / Vegetable oil / 식용유,Can / กระป๋อง,Liter (L) / ลิตร,18
RM00106,น้ำตาลทราย / granulated sugar / 과립 설탕,Bag / ถุง,Kilogram (kg) / กิโลกรัม,15
RM00107,แป้งทอดกรอบ / Crispy batter / 튀김가루,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00108,แป้งเกร็ดขนมปัง / Breadcrumbs / 빵가루,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00109,แป้งเอนกประสงค์ / All-purpose flour / 다목적 밀가루,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00110,น้ำยาล้างจาน / dishwashing liquid / 주방세제,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,750
RM00111,ถุงม้วน 35x45 / Roll of bags 35x45 / 가방 롤 35x45,Roll / ม้วน,Piece / ชิ้น,100
RM00112,ถุงม้วน 25x35 / Roll of bags 25x35 / 가방 롤 25x35,Roll / ม้วน,Piece / ชิ้น,100
RM00113,พริกป่นเกาหลี / Korean chili powder / 한국 고추가루,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00114,น้ำส้มเกาหลี / Korean vinegar / 한국식초,Gallon / แกลลอน,Liter (L) / ลิตร,5
RM00115,ผงชูรสเกาหลี / Korean MSG / 한국산 MSG,Bag / ถุง,Kilogram (kg) / กิโลกรัม,2
RM00116,มิลิน / Milin / 밀린,Gallon / แกลลอน,Liter (L) / ลิตร,1.8
RM00117,เกลือ / salt / 소금,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00118,เกลือนัว / Seasoning salt / 맛소금,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00119,น้ำมันงา / Sesame oil / 참기름,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,500
RM00120,น้ำมันหอยแพนด้า / Panda Oyster Sauce / 팬더굴소스,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00121,น้ำพริกเผาเกาหลี / Korean chili paste / 고추맛기름,Bottle / ขวด,Gram (g) / กรัม,500
RM00122,ซอสพริกศรีราชา / Sriracha chili sauce / 스리라차 칠리 소스,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00123,ถั่วลิสงเม็ด / Peanut kernels / 땅콩 알갱이,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00124,ถั่วลิสงป่น / Ground peanuts / 땅콩가루,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00125,ถั่วลิสงป่นหยาบ / Coarsely ground peanuts / 거칠게 갈린 땅콩,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00126,เม็ดมะม่วงหิมพานต์ / Cashew nuts / 망고씨앗,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00127,พริกชีฟ้าแห้ง / Dried chili / 말린 새눈고추,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00128,พริกขี้หนูแห้ง / Dried bird's eye chili / 말린 새눈고추,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00129,ถั่วงอก / bean sprout / 콩나물,Box / กล่อง,Kilogram (kg) / กิโลกรัม,3.5
RM00130,ไข่ไก่ / egg / 계란,Pack / แพ็ค,egg / ฟอง,30
RM00131,มะนาวเหลือง / yellow lemon / 노란 레몬,Piece / ชิ้น,Gram (g) / กรัม,115
RM00132,แตงกวา / cucumber / 오이,Piece / ชิ้น,Gram (g) / กรัม,250
RM00133,เห็ดเออรินจิ / Eringi mushrooms / 에린기 버섯,Box / กล่อง,Kilogram (kg) / กิโลกรัม,2
RM00134,เห็ดเข็มทอง / Golden needle mushrooms / 황금바늘버섯,Bag / ถุง,Gram (g) / กรัม,158
RM00135,กระเทียม / garlic / 마늘,Bag / ถุง,Kilogram (kg) / กิโลกรัม,2
RM00136,พริกชี้ฟ้าเขียว / Green chili peppers / 청양고추,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00137,พริกชี้ฟ้าแดง / Red chili peppers / 붉은 고추,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00138,ผักชี / coriander / 고수풀,Kilogram (kg) / กิโลกรัม,Kilogram (kg) / กิโลกรัม,1
RM00139,ต้นหอม / spring onion / 쪽파,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00140,กุยช่ายเขียว / green chives / 녹색 부추,Kilogram (kg) / กิโลกรัม,Kilogram (kg) / กิโลกรัม,1
RM00141,ฟักทองยาว / Long pumpkin / 긴 호박,Piece / ชิ้น,Gram (g) / กรัม,372
RM00142,มะเขือยาว / eggplant / 가지,Piece / ชิ้น,Gram (g) / กรัม,130
RM00143,มะเขือเทศ / tomato / 토마토,Box / กล่อง,Kilogram (kg) / กิโลกรัม,5
RM00144,บล็อคโคลี / Broccoli / 브로콜리,Piece / ชิ้น,Gram (g) / กรัม,250
RM00145,ไชเท้า / radish / 무,Piece / ชิ้น,Kilogram (kg) / กิโลกรัม,2.5
RM00146,หอมใหญ่ / onion / 양파,Bag / ถุง,Kilogram (kg) / กิโลกรัม,10
RM00147,หอมแดง / shallots / 샬롯,Bag / ถุง,Kilogram (kg) / กิโลกรัม,10
RM00148,กวางตุ้ง / Chinese cabbage / 광둥어,Box / กล่อง,Kilogram (kg) / กิโลกรัม,3.5
RM00149,กะหล่ำปลี / cabbage / 양배추,Piece / ชิ้น,Kilogram (kg) / กิโลกรัม,3
RM00150,กาดขาว / White cabbage / 흰 양배추,Piece / ชิ้น,Gram (g) / กรัม,800
RM00151,ผักสลัด / Salad greens / 샐러드 채소,Bag / ถุง,Gram (g) / กรัม,400
RM00152,แครอท / carrot / 당근,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00153,คึ่นไช่ / Celery / 셀러리,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00154,สัปรด / Pineapple / 파인애플,Piece / ชิ้น,Kilogram (kg) / กิโลกรัม,2
RM00155,ตะไคร้ / lemon grass / 레몬그라스,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00156,ใบมะกรูดสด / Fresh kaffir lime leaves / 카피르라임잎,Bag / ถุง,Gram (g) / กรัม,100
RM00157,มันฝรั่ง / Potato / 감자,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00158,ขาหมู / Pork leg / 돼지 다리,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00159,ข้าวเหนียว / sticky rice / 찹쌀,Bag / ถุง,Kilogram (kg) / กิโลกรัม,20
RM00160,มะละกอ / papaya / 파파야,Piece / ชิ้น,Kilogram (kg) / กิโลกรัม,1
RM00161,ปูนิ่ม / Soft-shelled crab / 소프트쉘 크랩,Box / กล่อง,Kilogram (kg) / กิโลกรัม,9
RM00162,ปลานิล / Nile tilapia / 나일틸라피아,Piece / ชิ้น,Piece / ชิ้น,1
RM00163,โค้ก / Coke / 코카콜라,Pack / แพ็ค,Can / กระป๋อง,24
RM00164,โค้กซีโร่ / Coke Zero / 코크 제로,Pack / แพ็ค,Can / กระป๋อง,24
RM00165,สไปรท์ / Sprite / 요정,Pack / แพ็ค,Can / กระป๋อง,24
RM00166,แฟนต้าส้ม / Fanta Orange / 환타 오렌지,Pack / แพ็ค,Can / กระป๋อง,24
RM00167,แฟนต้าสัปรด / Pineapple Fanta / 파인애플 환타,Pack / แพ็ค,Can / กระป๋อง,24
RM00168,เบียร์สิงห์ / Singha Beer / 싱하 맥주,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,320
RM00169,โซจูชัมอีซึล / Soju Chami Seul / 소주 참미슬,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,360
RM00170,โซจูชออึมชอรอม / Soju Cheoeum Cheoreom / 소주 추음 추롬,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,360
RM00171,คาส / Cas / 캐스,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,350
RM00172,หมูยอ / Pork sausage / 돼지고기 소시지,Pack / แพ็ค,Gram (g) / กรัม,370
RM00173,แหนม / sour pork / 신맛나는 돼지고기,Pack / แพ็ค,Gram (g) / กรัม,290
RM00174,น้ำมะนาวฟ้าไทย / Thai Sky Lemonade / 타이 스카이 레모네이드,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00175,น้ำมะพร้าว / Coconut water / 코코넛 워터,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,500
RM00176,แผ่นปอเปี๊ยะ / Spring roll wrappers / 스프링롤 wrappers,Pack / แพ็ค,Gram (g) / กรัม,225
RM00177,น้ำกระเทียมดอง / pickled garlic juice / 절인 마늘 주스,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00178,ผักชีฝรั่ง / Parsley / 파슬리,Bag / ถุง,Gram (g) / กรัม,100
